,station_name,lat,long
193,Ashland Ave & Grand Av,41.891082,-87.6666874
194,Greenview Ave & Fullerton Av,41.925326,-87.6658295
195,Federal St & Polk St,41.8721086,-87.629569
196,Clark St & Wellington Av,41.9364968,-87.6475387
197,Lincoln Ave & Fullerton Av,41.925905,-87.64926
198,Damen Ave & Division St,41.9032712,-87.6782397
199,Clybourn Ave & Division St,41.9045257,-87.6404612
200,Clark St & Elm St,41.9029296,-87.6313227
201,Clark St & Chicago Av,41.8967157,-87.6309632
202,Southport Ave & Clark St,41.957081,-87.664199
203,Desplaines St & Jackson Blvd,41.878307,-87.6439383
204,Ravenswood Ave & Irving Park Rd,41.9546621,-87.6739059
205,Broadway & Argyle St,41.972972,-87.659637
206,Wells St & Huron St,41.8947285,-87.634423
207,Indiana Ave & 31st St,41.838812,-87.6218516
208,Central St Metra,42.0638275,-87.6986432
209,Clark St & Schreiber Av,41.9993368,-87.6713758
210,Halsted St & Wrightwood Av,41.929143,-87.649077
211,Financial Pl & Ida B Wells Dr ,41.8749588,-87.633159
212,Southport Ave & Belmont Av,41.9394986,-87.6636948
213,Sheridan Rd & Greenleaf Av,42.0106271,-87.6624428
214,McClurg Ct & Erie St,41.8944402,-87.617832
215,Winchester Ave & Elston Av,,
216,Larrabee St & North Av,41.91021,-87.6435
217,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368
218,Sheffield Ave & Willow St,41.913688,-87.652855
219,Damen Ave & Melrose Av,41.9405352,-87.6785657
220,Broadway & Wilson Av,41.965287,-87.658774
221,Ravenswood Ave & Berteau Av,41.9579589,-87.6735777
222,Ellis Ave & 58th St,41.78875,-87.6013049
223,Claremont Ave & Hirsch St,41.907781,-87.685854
224,Halsted St & Dickens Av,41.919936,-87.64883
225,Lincoln Ave & Belmont Av,41.9393041,-87.6682778
226,Franklin St & Jackson Blvd,41.877708,-87.6353211
227,Michigan Ave & Pearson St,41.89766,-87.62351
228,State St & Van Buren St,41.877181,-87.627844
229,Honore St & Division St,41.9031364,-87.6738976
230,Orleans St & Elm St ,41.902924,-87.637715
231,Aberdeen St & Randolph St,41.8840181,-87.6545397
232,Western Ave & 24th St,41.84847,-87.685109
233,Canal St & Taylor St,41.8703544,-87.6394331
234,Broadway & Barry Av,41.937739,-87.644094
235,Wells St & Polk St,41.872373,-87.633523
236,Wells St & 19th St,41.856802,-87.633879
237,Marine Dr & Ainslie St,41.9716031,-87.6501064
238,Clark St & Montrose Av,41.9615526,-87.6662069
239,California Ave & 23rd Pl,41.8491229,-87.6951646
240,Southport Ave & Wellington Av,41.93584,-87.6637
241,Canal St & Harrison St,41.8742451,-87.6395767
242,Ashland Ave & Archer Av,41.8391584,-87.6656964
243,Broadway & Berwyn Av,41.978353,-87.659753
244,Wood St & Chicago Ave ,41.8958394,-87.6720965
245,Glenwood Ave & Touhy Av,42.0127334,-87.6660304
246,Ashland Ave & Lake St ,41.88541,-87.66732
247,Franklin St & Lake St,41.885837,-87.6355
248,Blue Island Ave & 18th St,41.857556,-87.661535
249,Wentworth Ave & 33rd St,41.8345104,-87.6317738
250,Lincoln Ave & Belle Plaine Av,41.9560354,-87.6803171
251,Lakefront Trail & Bryn Mawr Av,41.9841182,-87.6521048
252,MLK Jr Dr & Pershing Rd,41.8242768,-87.6166221
253,Canal St & Monroe St ,41.8807,-87.63947
254,Clark St & North Av,41.911791,-87.631841
255,Desplaines St & Randolph St,41.8845699,-87.6443031
256,LaSalle St & Jackson Blvd,41.87817,-87.631985
257,Loomis St & Jackson Blvd,41.877945,-87.662007
258,Kedzie Ave & Bryn Mawr Av,41.9829235,-87.7089705
259,Clinton St & Jackson Blvd ,41.8783906,-87.6409891
260,Lakefront Trail & Wilson Av,41.9657729,-87.6453951
261,Larrabee St & Kingsbury St,41.897764,-87.642884
262,Wells St & Hubbard St,41.8898488,-87.6342257
263,Sheffield Ave & Wrightwood Av,41.928712,-87.653833
264,Burnham Harbor,41.8563298,-87.6134827
265,Sheffield Ave & Kingsbury St,41.9095919,-87.6534972
266,Stave St & Armitage Av,41.9177255,-87.6914392
267,Kingsbury St & Erie St,41.8938432,-87.6418512
268,Ashland Ave & Wrightwood Av,41.92883,-87.668507
269,Morgan St & 31st St,41.8377876,-87.6512321
270,Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625
271,Larrabee St & Menomonee St,41.91468,-87.64332
272,Kedzie Ave & Lake St,41.8845538,-87.7063827
273,Damen Ave & Leland Av,41.967094,-87.679028
274,May St & Cullerton St,41.8551827,-87.6541935
275,Artesian Ave & Hubbard St,41.8894772,-87.688031
276,Western Ave & Monroe St,41.8797855,-87.6862867
277,Halsted St & North Branch St,41.8993921,-87.6485166
278,Seeley Ave & Roscoe St,41.943403,-87.679618
279,Harper Ave & 59th St,41.7879391,-87.5885762
280,Milwaukee Ave & Wabansia Av,41.912616,-87.681391
281,Damen Ave & Thomas St (Augusta Blvd,41.9012996,-87.6774028
282,May St & Taylor St,41.8694943,-87.6554277
283,Eastlake Ter & Rogers Av,42.021,-87.6650758
284,California Ave & Montrose Av,41.9610872,-87.6954843
285,Damen Ave & Cortland St,,
286,California Ave & Altgeld St,41.9265644,-87.6979295
287,California Ave & Francis Pl,41.9181951,-87.6970531
288,Benson Ave & Church St,42.0483087,-87.6835799
289,California Ave & North Av,41.9104159,-87.6971574
290,Michigan Ave & Jackson Blvd,41.87785,-87.62408
291,Leavitt St & Archer Av,41.8287368,-87.680654
292,Michigan Ave & Ida B Wells Dr,41.8761665,-87.6244321
293,Milwaukee Ave & Rockwell St,41.920195,-87.693033
294,Green St & Randolph St,41.884078,-87.648684
295,Damen Ave & Grand Av,41.89122,-87.67686
296,Sheridan Rd & Noyes St (NU,42.0582647,-87.6775637
297,Clinton St & Washington Blvd,41.8834589,-87.6411634
298,MLK Jr Dr & 29th St,41.8420046,-87.6169135
299,Kimbark Ave & 53rd St,41.799568,-87.594747
300,Glenwood Ave & Morse Av,42.0080013,-87.6654097
301,State St & Harrison St,41.8739581,-87.6277395
302,Wentworth Ave & Cermak Rd ,41.8530995,-87.6318427
303,Calumet Ave & 18th St,41.857611,-87.619407
304,Clark St & Winnemac Av,41.973385,-87.668365
305,Marshfield Ave & Cortland St,41.9160622,-87.6687848
306,Dearborn St & Van Buren St ,41.8767276,-87.6292037
307,Racine Ave & Wrightwood Av,41.928887,-87.658971
308,Greenview Ave & Diversey Pkwy,41.932595,-87.665939
309,Albany Ave & Bloomingdale Av,41.9139521,-87.7051228
310,MLK Jr Dr & 63rd St,41.7800791,-87.6158646
311,Ashland Ave & Grace St,41.950687,-87.6687
312,Oakley Ave & Irving Park Rd,41.9544437,-87.6861659
313,roy St & Elston Av,,
314,Dearborn St & Adams St,41.8793564,-87.629791
315,Damen Ave & Wellington Av,41.9358511,-87.6784803
316,Richmond St & Diversey Av,41.9319623,-87.7012187
317,Broadway & Ridge Av,41.9840193,-87.6602158
318,Field Museu,23.7638583,90.38579754855019
319,Morgan St & Polk St,41.871737,-87.65103
320,Logan Blvd & Elston Av,41.930584,-87.685126
321,Wood St & Taylor St,41.869154,-87.671045
322,Cottage Grove Ave & 63rd St,41.7806311,-87.6061121
323,Ogden Ave & Race Av,41.8917355,-87.6587593
324,Southport Ave & Waveland Av,41.94815,-87.66394
325,Calumet Ave & 33rd St,41.8349,-87.61793
326,University Ave & 57th St,41.7914759,-87.5999106
327,Delano Ct & Roosevelt Rd,41.8675083,-87.6322918
328,Lake Park Ave & 47th St,41.809443,-87.591875
329,63rd St Beach,41.782799499999996,-87.57463313256407
330,Hermitage Ave & Polk St,41.871514,-87.669886
331,Franklin St & Monroe St,41.8804996,-87.6351804
332,Dayton St & North Av,41.910578,-87.6494219
333,Hoyne Ave & Balmoral Av,41.9797113,-87.6819088
334,Dodge Ave & Mulford St,42.0234251,-87.6996635
335,Ashland Ave & 21st St,41.85381,-87.665897
336,Dorchester Ave & 49th St,41.8056861,-87.5924598
337,Sheridan Rd & Loyola Av,42.00112555,-87.6612623228717
338,Lincoln Ave & Winona St,41.9748907,-87.6924131
339,Wabash Ave & Adams St,41.8794857,-87.6257297
340,Sheridan Rd & Columbia Av,42.0045858,-87.6612854
341,Buckingham Fountain ,41.875802,-87.61897180355183
342,Western Ave & Division St,41.902893,-87.687275
343,Knox Ave & Montrose Av,41.9604976,-87.7451715
344,Emerald Ave & 28th St,41.84358,-87.645368
345,Wentworth Ave & 63rd St,41.780097,-87.6297484
346,Sawyer Ave & Irving Park Rd,41.9536298,-87.7093069
347,Ellis Ave & 60th St,41.7854141,-87.6010095
348,Sacramento Blvd & Franklin Blvd,41.8899658,-87.7013022
349,Damen Ave & Madison St,41.8813908,-87.6748936
350,LaSalle St & Adams St,41.8793188,-87.6319462
351,Drake Ave & Addison St,41.9471249,-87.7175803
352,Ashland Ave & Blackhawk St,41.907066,-87.667252
353,Clarendon Ave & Junior Ter,41.961004,-87.649603
354,Rockwell St & Eastwood Av,41.9659122,-87.6936356
355,Canal St & Jackson Blvd,41.8776199,-87.6396818
356,Kedzie Ave & 24th St,41.8481944,-87.7053422
357,Clark St & Elmdale Av,41.9907535,-87.6697396
358,900 W Harrison St,40.478858,-86.141648
359,Fairbanks St & Superior St ,,
360,Franklin St & Quincy St,42.2429308,-71.003492
361,Wood St & Augusta Blvd,41.8994755,-87.6722516
362,Loomis St & Archer Av,41.8417233,-87.6575616
363,Wacker Dr & Washington St,41.8832829,-87.63729
364,McCormick Plac,41.56657155,-90.55240646331836
365,Ashland Ave & Augusta Blvd,41.899643,-87.6677
366,Leavitt St & Addison St,41.9466311,-87.6833425
367,Western Ave & 21st St,41.85394,-87.685243
368,Central Park Ave & North Av,41.9098655,-87.7165904
369,Lincolnwood Dr & Central St,42.064774,-87.7153095
370,Ashland Ave & Belle Plaine Av,41.956061,-87.668869
371,Humboldt Blvd & Armitage Av,41.9175779,-87.7017328
372,Kedzie Ave & Foster Av,41.9756289,-87.7092229
373,Damen Ave & Charleston St,41.9200738,-87.6779243
374,Morgan Ave & 14th Pl,41.862378,-87.651062
375,California Ave & Cortez St,41.9002655,-87.6967318
376,Warren Park East,42.0045714,-87.6806541
377,Carpenter St & Huron St,41.8946881,-87.6535029
378,Leavitt St & Lawrence Av,41.9688275,-87.6840023
379,Halsted St & Polk St,41.87184,-87.64664
380,Sangamon St & Washington Blvd ,41.883004,-87.651148
381,Paulina St & Montrose Av,41.961507,-87.671387
382,Southport Ave & Clybourn Av,41.921004,-87.663257
383,Stetson Ave & South Water St,41.886861,-87.622694
384,Woodlawn Ave & 55th St,41.795264,-87.596471
385,Western Ave & Congress Pkwy,41.8749044,-87.6865427
386,Shields Ave & 31st St,41.8383525,-87.6354095
387,Broadway & Thorndale Av,41.9897404,-87.6601139
388,Drake Ave & Fullerton Av,41.9244738,-87.7154736
389,Pulaski Rd & Eddy St ,,
390,Clark St & Leland Av,41.967096,-87.667429
391,Wood St & Hubbard St,41.8898707,-87.6713016
392,Clark St & Columbia Av,42.0044397,-87.6726007
393,Monticello Ave & Irving Park Rd,41.9539559,-87.7191432
394,Drake Ave & Montrose Av,41.9611574,-87.7166179
395,Kilbourn Ave & Milwaukee Av,,
396,Ellis Ave & 55th St,41.7942934,-87.6014494
397,Ogden Ave & Congress Pkwy,41.87501,-87.67328
398,Washtenaw Ave & Lawrence Av,41.9687357,-87.6961627
399,Halsted St & 21st St,41.85378,-87.64665
400,Shedd Aquariu,,
401,Calumet Ave & 21st St,41.8542637,-87.619241
402,MLK Jr Dr & 47th St,41.809851,-87.616279
403,Lincoln Ave & Addison St,41.946176,-87.673308
404,Winchester (Ravenswood) Ave & Balmoral Av,,
405,Lake Park Ave & 56th St,41.793242,-87.587782
406,Racine Ave & 15th St,41.861267,-87.656625
407,Central Park Ave & Elbridge Av,41.9353418,-87.7169563
408,Central Park Ave & Bloomingdale Av,41.9139862,-87.7167357
409,Larrabee St & Armitage Av,41.91797,-87.64368
410,Racine Ave & Washington Blvd ,41.8830824,-87.6569144
411,Morgan St & 18th St,41.858086,-87.651073
412,Elston Ave & Wabansia Av,41.9129688,-87.6640494
413,Woodlawn Ave & Lake Park Av,41.8141294,-87.5969742
414,Halsted St & 18th St,41.857499,-87.646277
415,Wood St & 35th St,41.8301069,-87.670307
416,Evanston Civic Center,42.056746849999996,-87.68716227727953
417,California Ave & Byron St,41.9521663,-87.6980228
418,Halsted St & 47th Pl,41.8081197,-87.645624
419,Kilbourn Ave & Irving Park Rd,41.9536633,-87.7406225
420,Michigan Ave & 8th St,41.8728616,-87.6239628
421,Malcolm X Colleg,,
422,Racine Ave & 13th St,41.865054,-87.656959
423,alman Ave & Addison St,,
424,Ogden Ave & Roosevelt Rd,41.8665326,-87.6848122
425,Clinton St & 18th St,41.85795,-87.640826
426,California Ave & Fletcher St,41.9384252,-87.6979586
427,California Ave & Division St,41.9030185,-87.6974565
428,Calumet Ave & 35th St,41.831379,-87.618034
429,Elmwood Ave & Austin St,42.0257779,-87.6841002
430,Wallace St & 35th St,41.830621,-87.6413088
431,Museum of Science and Industry,41.79076255,-87.58293046095528
432,Kedzie Ave & 21st St,41.8535382,-87.7050297
433,Cottage Grove Ave & 43rd St,41.816499,-87.606582
434,Kildare Ave & Montrose Av,41.9610549,-87.7357302
435,State St & 33rd St,41.834734,-87.625813
436,Washtenaw Ave & Ogden Ave ,41.8619199,-87.6934384
437,Chicago Ave & Dempster St,42.0416496,-87.680673
438,Cornell Ave & Hyde Park Blvd,41.802456,-87.5870784
439,California Ave & Lake St,41.8845053,-87.6962094
440,Dodge Ave & Church St,42.0483156,-87.69843
441,Eggleston Ave & 69th St ,41.7690286,-87.6359848
442,Spaulding Ave & Division St,41.9027306,-87.7092496
443,Cannon Dr & Fullerton Av,41.926756,-87.6344288
444,Damen Ave & Coulter St,41.8492,-87.67564
445,Leavitt St & Armitage Av,41.917805,-87.682437
446,Shields Ave & 28th Pl,41.8426364,-87.6355954
447,State St & 35th St,41.8310903,-87.6270967
